Agno;Tipo Institucion;Matricula primer agno hombres;Matricula primer agno mujeres
2023;Univ.;36;2
2023;Univ.;5;10
2023;Univ.;36;14
2023;Univ.;27;15
2023;Univ.;13;2
2023;Univ.;4;1
2023;Univ.;2;11
2023;Univ.;17;27
2023;Univ.;68;74
2023;Univ.;73;61
2023;Univ.;30;20
2023;Univ.;44;39
2023;Univ.;15;33
2023;Univ.;12;9
2023;Univ.;39;54
2023;Univ.;20;8
2023;Univ.;47;22
2023;Univ.;22;8
2023;Univ.;2;0
2023;Univ.;5;7
2023;Univ.;8;7
2023;Univ.;19;20
2023;Univ.;25;59
2023;Univ.;52;76
2023;Univ.;53;88
2023;Univ.;0;40
2023;Univ.;0;53
2023;Univ.;0;34
2023;Univ.;10;27
2023;Univ.;6;2
2023;Univ.;20;35
2023;Univ.;9;14
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;10;39
2023;Univ.;24;22
2023;Univ.;28;30
2023;Univ.;7;34
2023;Univ.;16;46
2023;Univ.;8;11
2023;Univ.;3;6
2023;Univ.;100;9
2023;Univ.;97;13
2023;Univ.;11;8
2023;Univ.;45;13
2023;Univ.;9;4
2023;Univ.;54;31
2023;Univ.;37;9
2023;Univ.;90;36
2023;Univ.;90;58
2023;Univ.;22;14
2023;Univ.;11;11
2023;Univ.;9;7
2023;Univ.;75;10
2023;Univ.;56;5
2023;Univ.;26;11
2023;Univ.;14;8
2023;Univ.;0;0
2023;Univ.;20;18
2023;Univ.;0;0
2023;Univ.;4;3
2023;Univ.;0;0
2023;Univ.;28;38
2023;Univ.;37;27
2023;Univ.;18;35
2023;Univ.;18;4
2023;Univ.;33;46
2023;Univ.;0;0
2023;Univ.;16;37
2023;Univ.;12;11
2023;Univ.;21;11
2023;Univ.;17;1
2023;Univ.;4;0
2023;Univ.;0;0
2023;Univ.;21;21
2023;Univ.;0;0
2023;Univ.;28;26
2023;Univ.;17;25
2023;Univ.;32;26
2023;Univ.;0;0
2023;Univ.;7;39
2023;Univ.;0;0
2023;Univ.;0;46
2023;Univ.;0;0
2023;Univ.;7;32
2023;Univ.;4;22
2023;Univ.;0;0
2023;Univ.;12;12
2023;Univ.;0;0
2023;Univ.;2;6
2023;Univ.;0;0
2023;Univ.;20;29
2023;Univ.;0;0
2023;Univ.;33;18
2023;Univ.;0;0
2023;Univ.;13;30
2023;Univ.;0;0
2023;Univ.;3;9
2023;Univ.;0;0
2023;Univ.;9;15
2023;Univ.;0;0
2023;Univ.;25;12
2023;Univ.;11;29
2023;Univ.;14;21
2023;Univ.;27;21
2023;Univ.;19;42
2023;Univ.;17;20
2023;Univ.;41;19
2023;Univ.;28;21
2023;Univ.;49;19
2023;Univ.;48;4
2023;Univ.;5;9
2023;Univ.;43;5
2023;Univ.;34;12
2023;Univ.;0;0
2023;Univ.;50;23
2023;Univ.;0;0
2023;Univ.;54;1
2023;Univ.;59;39
2023;Univ.;15;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;20;52
2023;Univ.;0;
2023;Univ.;17;27
2023;Univ.;20;26
2023;Univ.;11;56
2023;Univ.;20;44
2023;Univ.;41;50
2023;Univ.;0;
2023;Univ.;8;28
2023;Univ.;13;29
2023;Univ.;17;30
2023;Univ.;38;5
2023;Univ.;0;11
2023;Univ.;0;
2023;Univ.;5;34
2023;Univ.;44;62
2023;Univ.;1;33
2023;Univ.;9;51
2023;Univ.;9;70
2023;Univ.;15;71
2023;Univ.;0;14
2023;Univ.;20;8
2023;Univ.;15;14
2023;Univ.;53;50
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;37;3
2023;Univ.;0;
2023;Univ.;15;5
2023;Univ.;20;4
2023;Univ.;28;2
2023;Univ.;30;13
2023;Univ.;0;
2023;Univ.;0;
2023;Univ.;55;45
2023;Univ.;0;
2023;Univ.;17;21
2023;Univ.;46;13
2023;Univ.;37;33
2023;Univ.;0;
2023;Univ.;64;19
2023;Univ.;0;
2023;Univ.;24;27
2023;Univ.;4;4
2023;Univ.;0;
2023;Univ.;41;5
2023;Univ.;36;2
2023;Univ.;0;
2023;Univ.;30;48
2023;Univ.;16;21
2023;Univ.;50;44
2023;Univ.;13;9
2023;Univ.;40;30
2023;Univ.;;
2023;Univ.;27;20
2023;Univ.;121;74
2023;Univ.;10;35
2023;Univ.;46;75
2023;Univ.;25;12
2023;Univ.;14;30
2023;Univ.;30;29
2023;Univ.;7;4
2023;Univ.;12;23
2023;Univ.;62;82
2023;Univ.;28;21
2023;Univ.;23;79
2023;Univ.;;
2023;Univ.;24;15
2023;Univ.;;
2023;Univ.;6;5
2023;Univ.;12;16
2023;Univ.;;
2023;Univ.;31;85
2023;Univ.;29;44
2023;Univ.;18;57
2023;Univ.;76;83
2023;Univ.;0;45
2023;Univ.;6;4
2023;Univ.;;
2023;Univ.;23;14
2023;Univ.;5;5
2023;Univ.;17;10
2023;Univ.;14;40
2023;Univ.;19;69
2023;Univ.;4;44
2023;Univ.;4;49
2023;Univ.;32;43
2023;Univ.;25;27
2023;Univ.;28;53
2023;Univ.;19;54
2023;Univ.;0;39
2023;Univ.;1;75
2023;Univ.;23;54
2023;Univ.;28;50
2023;Univ.;15;36
2023;Univ.;24;48
2023;Univ.;9;14
2023;Univ.;12;8
2023;Univ.;38;32
2023;Univ.;113;14
2023;Univ.;27;7
2023;Univ.;40;14
2023;Univ.;82;42
2023;Univ.;5;4
2023;Univ.;22;7
2023;Univ.;13;10
2023;Univ.;19;28
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;12;10
2023;Univ.;12;10
2023;Univ.;6;11
2023;Univ.;12;28
2023;Univ.;14;3
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;5;16
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;12;20
2023;Univ.;7;25
2023;Univ.;5;24
2023;Univ.;22;41
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;7;8
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;22;25
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;22;51
2023;Univ.;10;45
2023;Univ.;4;35
2023;Univ.;4;35
2023;Univ.;30;27
2023;Univ.;24;26
2023;Univ.;7;40
2023;Univ.;1;30
2023;Univ.;24;36
2023;Univ.;14;26
2023;Univ.;6;15
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;18;38
2023;Univ.;3;29
2023;Univ.;42;2
2023;Univ.;0;0
2023;Univ.;10;4
2023;Univ.;0;0
2023;Univ.;25;16
2023;Univ.;25;16
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;42;6
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;13;10
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;1;6
2023;Univ.;8;0
2023;Univ.;30;1
2023;Univ.;7;5
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;7;13
2023;Univ.;20;26
2023;Univ.;42;37
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;31;19
2023;Univ.;15;48
2023;Univ.;15;23
2023;Univ.;0;0
2023;Univ.;14;20
2023;Univ.;12;23
2023;Univ.;14;59
2023;Univ.;13;16
2023;Univ.;14;33
2023;Univ.;63;50
2023;Univ.;13;21
2023;Univ.;14;52
2023;Univ.;42;25
2023;Univ.;27;16
2023;Univ.;14;40
2023;Univ.;16;20
2023;Univ.;17;53
2023;Univ.;2;41
2023;Univ.;25;31
2023;Univ.;35;39
2023;Univ.;9;31
2023;Univ.;3;44
2023;Univ.;31;47
2023;Univ.;20;31
2023;Univ.;0;0
2023;Univ.;25;35
2023;Univ.;7;39
2023;Univ.;18;18
2023;Univ.;49;3
2023;Univ.;24;5
2023;Univ.;9;11
2023;Univ.;42;8
2023;Univ.;13;3
2023;Univ.;30;7
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;0;0
2023;Univ.;79;35
2023;Univ.;13;6
2023;Univ.;36;4
2023;Univ.;81;19
2023;Univ.;22;9
2023;Univ.;13;19
2023;Univ.;48;5
2023;Univ.;35;14
2023;Univ.;8;7
2023;Univ.;26;13
2023;Univ.;1;14
2023;Univ.;5;9
2023;Univ.;7;14
2023;Univ.;8;12
2023;Univ.;;
2023;Univ.;6;5
2023;Univ.;5;6
2023;Univ.;3;2
2023;Univ.;10;6
2023;Univ.;15;18
2023;Univ.;15;7
2023;Univ.;23;13
2023;Univ.;16;26
2023;Univ.;11;17
2023;Univ.;20;32
2023;Univ.;2;13
2023;Univ.;0;20
2023;Univ.;2;8
2023;Univ.;;
2023;Univ.;5;6
2023;Univ.;15;6
2023;Univ.;8;4
2023;Univ.;5;11
2023;Univ.;7;2
2023;Univ.;;
2023;Univ.;3;6
2023;Univ.;0;26
2023;Univ.;1;26
2023;Univ.;;
2023;Univ.;;
2023;Univ.;17;54
2023;Univ.;2;24
2023;Univ.;24;27
2023;Univ.;26;29
2023;Univ.;14;30
2023;Univ.;;
2023;Univ.;;
2023;Univ.;4;25
2023;Univ.;10;32
2023;Univ.;8;28
2023;Univ.;;
2023;Univ.;;
2023;Univ.;39;11
2023;Univ.;29;11
2023;Univ.;;
2023;Univ.;;
2023;Univ.;9;4
2023;Univ.;15;3
2023;Univ.;20;2
2023;Univ.;18;5
2023;Univ.;21;2
2023;Univ.;8;1
2023;Univ.;5;6
2023;Univ.;7;0
2023;Univ.;;
2023;Univ.;22;23
2023;Univ.;21;19
2023;Univ.;;
2023;Univ.;98;71
2023;Univ.;40;49
2023;Univ.;9;8
2023;Univ.;5;10
2023;Univ.;;
2023;Univ.;5;8
2023;Univ.;48;42
2023;Univ.;;
2023;Univ.;17;15
2023;Univ.;18;8
2023;Univ.;64;6
2023;Univ.;37;56
2023;Univ.;0;0
2023;Univ.;15;9
2023;Univ.;15;40
2023;Univ.;18;30
2023;Univ.;25;87
2023;Univ.;31;28
2023;Univ.;50;73
2023;Univ.;1;24
2023;Univ.;0;5
2023;Univ.;6;19
2023;Univ.;1;1
2023;Univ.;9;5
2023;Univ.;1;6
2023;Univ.;19;16
2023;Univ.;1;1
2023;Univ.;;
2023;Univ.;5;5
2023;Univ.;18;56
2023;Univ.;9;51
2023;Univ.;34;43
2023;Univ.;38;55
2023;Univ.;13;59
2023;Univ.;1;60
2023;Univ.;23;42
2023;Univ.;21;49
2023;Univ.;5;52
2023;Univ.;57;5
2023;Univ.;26;12
2023;Univ.;61;6
2023;Univ.;38;24
2023;Univ.;50;10
2023;Univ.;78;23
2023;Univ.;0;0
2023;Univ.;50;6
2023;Univ.;39;2
